Name,ID,InjuriesPerTurtle,Date,CCL min (cm),CCL max (cm),Body Part ,Injury Type ,Injury Stage,Nature,Source
Beyonce,2360,0,6/9/23,101.8,102.2,N/A,N/A,N/A,4,N/A
Solange ,2361,0,6/10/23,109,110,N/A,N/A,N/A,4,N/A
Lucie,2066,0,6/10/23,110,113.4,N/A,N/A,N/A,4,N/A
Nicola ,734,0,6/11/23,96.8,96.8,N/A,N/A,N/A,4,N/A
Carrot ,2363,0,6/10/23,105,106,N/A,N/A,N/A,4,N/A
Copper,2364,1,6/11/23,103,103.4,RFF,Type 1,Stage 5 (scar),2,Shark
Olgi ,2366,0,6/13/23,102.9,103.6,N/A,N/A,N/A,4,N/A
Eleven,2365,0,6/13,114.4,114.6,N/A,N/A,N/A,4,N/A
Moss,2369,0,6/15/20,100.6,100.8,N/A,N/A,N/A,4,N/A
R2D2,2370,0,6/16/20,104.1,104.6,N/A,N/A,N/A,4,N/A
Brieanna,755,0,6/21/23,106.8,107.2,N/A,N/A,N/A,4,N/A
Frank ,2371,0,6/21/23,100.4,101.2,N/A,N/A,N/A,4,N/A
SBS,2372,1,6/21/23,109.1,109.5,CAR,Type 2A,Stage 1( fresh),1,Boat 
Bamboo ,2374,2,6/22/23,103.2,104,CAR,Type 2A,Stage 5 (scar),1,Boat 
Bamboo 2,,,,,,CAR,Type 1,Stage 5 (scar),2,Shark
La Derrius ,2343,0,6/21/23,102,102.7,N/A,N/A,N/A,4,N/A
Chartreuse,2377,0,6/22/23,110,110.2,N/A,N/A,N/A,4,N/A
Lucky ,2376,1,6/22/23,107.1,107.4,RRF,Type 1,Stage 5 (scar),2,Shark
Pesto ,2378,0,6/22/23,103.2,103.8,N/A,N/A,N/A,4,N/A
Wayne ,713,0,7/10/23,110.9,111.3,N/A,N/A,N/A,4,N/A
Malachite ,2398,1,7/5/23,100.2,100.6,LRF,Type 1,Stage 5 (scar),3,Unknown 
Spearmint ,2394,0,7/5/23,101.4,102,N/A,N/A,N/A,4,N/A
Spring ,2395,0,7/5/23,98.4,98.9,N/A,N/A,N/A,4,N/A
Seaweed,2396,1,7/5/23,98.5,99,LRF,Type 1A,Stage 5 (scar),2,Shark
Agave,2397,2,7/6/23,102.9,102.9,CAR,Type 2,Stage 5 (scar),1,Fishing 
Agave 2,,,,,,LRF,Type 1A,Stage 5 (scar),3,Unknown 
Cocount,2398,3,7/6/23,113.3,113.6,LFF,Type 1A,Stage 5 (scar),3,Unknown 
Cocount 2,,,,,,RFF,Type 1,Stage 5 (scar),3,Unknown 
Cocount 3,,,,,,CAR,Type 2,Stage 5 (scar),2,Shark
Celadon ,2402,0,7/6/23,104.3,104.6,N/A,N/A,N/A,4,N/A
Alien ,2403,1,7/6/23,108.4,108.9,CAR,Type 2A,Stage 5 (scar),3,Unknown 
Mantis ,2405,0,7/8/23,100.7,100.7,N/A,N/A,N/A,4,N/A
Inchworm ,2406,0,7/8/23,104.7,105.1,N/A,N/A,N/A,4,N/A
Scarab ,2407,0,7/8/23,108.7,109.2,N/A,N/A,N/A,4,N/A
Henke,2408,0,7/8/23,102.2,102.7,N/A,N/A,N/A,4,N/A
Absinthe ,2409,1,7/9/23,103.9,104.5,RRF,Type 1,Stage 5 (scar),2,Shark
Kermita,2410,0,7/9/23,96.3,97,N/A,N/A,N/A,4,N/A
Grouch,2411,1,7/9/23,103.2,109,CAR,Type 2A,Stage 3 (yellow),1,Boat 
Leaves,2413,0,7/10/23,104.8,106.8,N/A,N/A,N/A,4,N/A
Meparin ,2414,0,7/10/23,101.7,102.4,N/A,N/A,N/A,4,N/A
Kudin ,2415,0,7/11/23,104.1,104.4,N/A,N/A,N/A,4,N/A
Millie ,2416,1,7/12/23,96.9,97.5,RRF,Type 1,Stage 5 (scar),3,Unknown 
Ella ,2417,0,7/13/23,103.6,104,N/A,N/A,N/A,4,N/A
Sadie,2418,0,7/13/23,106.7,107.3,N/A,N/A,N/A,4,N/A
Colton ,2421,0,7/16/23,106.8,107.3,N/A,N/A,N/A,4,N/A
Effed ,2424,3,7/6/23,103.3,103.7,RRF,Unknown ,,3,
Effed 2,,,,,,LRF,Unknown ,,3,
Effed 3,,,,,,CAR,Type 2A,Stage 5 (scar),3,Unknown 
Tarragen ,2422,1,7/16/23,104.2,104.5,LRF,Type 1,Stage 5 (scar),3,Unknown 
Christina ,721,1,7/18/23,109.4,109.6,RRF,Type 1A,Stage 5 (scar),3,Unknown 
Diatom ,2425,1,7/18/23,101.2,101.2,CAR,Type 2A,Stage 5 (scar),1,Boat
Shiso ,2426,0,7/19/23,101.5,101.9,N/A,N/A,N/A,4,N/A
Borealis ,2429,1,7/21/23,109.8,109.8,CAR,Type 2A,Stage 5 (scar),1,Boat
Kakari ,2431,0,7/26/23,107.3,107.5,N/A,N/A,N/A,4,N/A
R2D2 (2),2370,0,8/2/23,102.9,103.2,N/A,N/A,N/A,4,N/A
Thumb,2434,0,8/3/23,111.2,111.8,N/A,N/A,N/A,4,N/A
